name,alt_name,company,state,municipality,fuel_bucket,technology,capacity_mw,commission_year,closure_year,lat,lon
Werkskraftwerk Sappi Ehingen,,Sappi Ehingen GmbH,Baden-Württemberg,Ehingen,natural_gas,Steam turbine,4.0,1977.0,,48.26693,9.72626
Huntorf,Huntorf CAES,Uniper Kraftwerke GmbH ,Niedersachsen,Elsfleth,natural_gas,Gas turbine,321.0,1978.0,,53.18969,8.40869
Emden Gas,,Statkraft Markets GmbH,Niedersachsen,Emden,natural_gas,Steam turbine,433.0,1973.0,,53.34217,7.206239999999999
HKW Niederrad,,Mainova AG,Hessen,Frankfurt am Main,natural_gas,Steam turbine,56.0,,2017.0,50.0856,8.62785
Staudinger,Staudinger 4 (Großkrotzenburg),Uniper Kraftwerke GmbH ,Hessen,Großkrotzenburg,natural_gas,Steam turbine,572.0,1977.0,,50.088553000000005,8.953399000000001
Heizkraftwerk Hagen-Kabel,,Mark-E AG,Nordrhein-Westfalen,Hagen,natural_gas,Steam turbine,230.0,1980.0,,51.41103,7.49171
KWH,,enercity AG,Niedersachsen,Hannover,natural_gas,Steam turbine,102.0,1975.0,,52.42,9.648611
HKW Karcherstr.,,"SWK Stadtwerke Kaiserslautern, Versorgungs-AG",Rheinland-Pfalz,Kaiserslautern,natural_gas,Steam turbine,11.6,1989.0,,49.434659,7.760234
Heizkraftwerk West,,Stadtwerke Karlsruhe GmbH,Baden-Württemberg,Karlsruhe,natural_gas,Steam turbine,37.0,1984.0,,49.014444,8.348056
Kombi-HKW,,Städtische Werke Energie + Wärme GmbH,Hessen,Kassel,natural_gas,Steam turbine,48.31,1988.0,,51.279099,9.484012
KW Kirchlengern,Kirchlengern 1,Energieservice Westfalen Weser GmbH,Nordrhein-Westfalen,Kirchlengern,natural_gas,Combined cycle,125.0,1981.0,,52.19507,8.6482
Landesbergen Gas,,Statkraft Markets GmbH,Niedersachsen,Landesbergen,natural_gas,Gas turbine,56.0,1973.0,,52.54585,9.11363
Landesbergen Gas,,Statkraft Markets GmbH,Niedersachsen,Landesbergen,natural_gas,Steam turbine,431.0,1973.0,,52.54585,9.11363
X-Kraftwerk,Leverkusen G15/G22/X50,Currenta GmbH & Co. OHG,Nordrhein-Westfalen,Leverkusen,natural_gas,Steam turbine,25.0,1981.0,,51.01443,6.98733
Emsland,Emsland C (Lingen) GT 1 u. 2,RWE Generation SE,Niedersachsen,Lingen,natural_gas,Combined cycle,116.0,1974.0,,52.481878,7.306658
Emsland,Emsland B (Lingen) GT 1 u. 2,RWE Generation SE,Niedersachsen,Lingen,natural_gas,Combined cycle,116.0,1973.0,,52.481878,7.306658
Emsland,Emsland B (Lingen) DT,RWE Generation SE,Niedersachsen,Lingen,natural_gas,Combined cycle,359.0,1973.0,,52.481878,7.306658
Emsland,Emsland C (Lingen) DT,RWE Generation SE,Niedersachsen,Lingen,natural_gas,Combined cycle,359.0,1974.0,,52.481878,7.306658
Kraftwerk Mainz,Mainz-Wiesbaden 2-1,Kraftwerke Mainz-Wiesbaden AG,Rheinland-Pfalz,Mainz,natural_gas,Combined cycle,335.0,1976.0,,50.0252,8.24292
Kraftwerk III,Marl III,Evonik Degussa GmbH,Nordrhein-Westfalen,Marl,natural_gas,Combined cycle,61.13,1973.0,,51.68037,7.0968800000000005
Kraftwerk III,Marl III,Evonik Degussa GmbH,Nordrhein-Westfalen,Marl,natural_gas,Combined cycle,77.57,1974.0,,51.68037,7.0968800000000005
Freimann GT 1,,SWM Services GmbH,Bayern,München,natural_gas,Gas turbine,80.0,,2015.0,48.188278,11.594954
Freimann GT 2,,SWM Services GmbH,Bayern,München,natural_gas,Gas turbine,80.0,,2015.0,48.188278,11.594954
Süd DT1,München-Süd GuD 1,SWM Services GmbH,Bayern,München,natural_gas,Combined cycle,79.7,1980.0,,48.1351253,11.5819806
Süd GT3,München-Süd GuD 1,SWM Services GmbH,Bayern,München,natural_gas,Combined cycle,97.9,1980.0,,48.1351253,11.5819806
Süd GT2,München-Süd GuD 1,SWM Services GmbH,Bayern,München,natural_gas,Combined cycle,97.9,1980.0,,48.1351253,11.5819806
Thyrow,,Lausitz Energie Kraftwerke AG,Brandenburg,Nunsdorf,natural_gas,Gas turbine,37.5,1989.0,,52.23015,13.30195
Thyrow,,Lausitz Energie Kraftwerke AG,Brandenburg,Nunsdorf,natural_gas,Gas turbine,37.5,,2016.0,52.23015,13.30195
Thyrow,,Lausitz Energie Kraftwerke AG,Brandenburg,Nunsdorf,natural_gas,Gas turbine,37.5,,2016.0,52.23015,13.30195
Thyrow,,Lausitz Energie Kraftwerke AG,Brandenburg,Nunsdorf,natural_gas,Gas turbine,37.5,,2016.0,52.23015,13.30195
Thyrow,,Lausitz Energie Kraftwerke AG,Brandenburg,Nunsdorf,natural_gas,Gas turbine,36.5,1987.0,,52.23015,13.30195
Thyrow,,Lausitz Energie Kraftwerke AG,Brandenburg,Nunsdorf,natural_gas,Gas turbine,36.5,1987.0,,52.23015,13.30195
Thyrow,,Lausitz Energie Kraftwerke AG,Brandenburg,Nunsdorf,natural_gas,Gas turbine,36.5,1987.0,,52.23015,13.30195
Thyrow,,Lausitz Energie Kraftwerke AG,Brandenburg,Nunsdorf,natural_gas,Gas turbine,36.5,1987.0,,52.23015,13.30195
Franken 1,Franken I-1 (Nürnberg),Uniper Kraftwerke GmbH ,Bayern,Nürnberg,natural_gas,Combined cycle,383.0,1973.0,,49.420836,11.007737
Franken 1,Franken I-2 (Nürnberg),Uniper Kraftwerke GmbH ,Bayern,Nürnberg,natural_gas,Combined cycle,440.0,1976.0,,49.420836,11.007737
HKW 1,,Energieversorgung Oberhausen AG,Nordrhein-Westfalen,Oberhausen,natural_gas,Steam turbine,23.1,1971.0,,51.470671,6.861598
Obernburg,Obernburg,Kraftwerk Obernburg GmbH,Bayern,Obernburg,natural_gas,Combined cycle,40.0,1920.0,,49.82935,9.14824
Heizkraftwerk Pforzheim GmbH,,Heizkraftwerk Pforzheim GmbH,Baden-Württemberg,Pforzheim,natural_gas,Steam turbine,11.3,,2016.0,48.88316,8.6653
Heizkraftwerk Pforzheim GmbH,,Heizkraftwerk Pforzheim GmbH,Baden-Württemberg,Pforzheim,natural_gas,Combined cycle,41.2,1980.0,,48.88316,8.6653
Kraftwerk Veltheim,,Uniper Kraftwerke GmbH ,Nordrhein-Westfalen,Porta Westfalica,natural_gas,Gas turbine,65.0,1974.0,2015.0,52.19004,8.93318
Kraftwerk Veltheim,,Uniper Kraftwerke GmbH ,Nordrhein-Westfalen,Porta Westfalica,natural_gas,Steam turbine,335.0,1975.0,2015.0,52.18696,8.93018
Solvay Kraftwerk Rheinberg,,Solvay Chemicals GmbH,Nordrhein-Westfalen,Rheinberg,natural_gas,Steam turbine,79.0,1961.0,,51.564890000000005,6.578239999999999
HKW Schwarza,,TWS Thüringer Wärme Service GmbH,Thüringen,Rudolstadt,natural_gas,Steam turbine,26.5,1936.0,,50.686928,11.329303
GuD Anlage Spreetal,,Alpiq Spreetal GmbH,Sachsen,Spreetal,natural_gas,Combined cycle,50.0,,2012.0,51.516748,14.366559
Dow Stade,,Dow Deutschland Anlagengesellschaft mbH,Niedersachsen,Stade,natural_gas,Steam turbine,190.0,,2014.0,53.65191970000001,9.5078665
GuD-Ikw Staßfurt,,CIECH Energy Deutschland GmbH,Sachsen-Anhalt,Staßfurt,natural_gas,Combined cycle,9.0,,2015.0,51.59421,11.572945
Heizkraftwerk Stuttgart-Gaisburg,,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Stuttgart,natural_gas,Gas turbine,55.0,,2014.0,48.782453,9.231483
Gersteinwerk,Gersteinwerk F (Werne),RWE Generation SE,Nordrhein-Westfalen,Werne,natural_gas,Combined cycle,55.0,1973.0,,51.672453,7.709947
Gersteinwerk,Gersteinwerk G (Werne),RWE Generation SE,Nordrhein-Westfalen,Werne,natural_gas,Combined cycle,55.0,1973.0,,51.672453,7.709947
Gersteinwerk,,RWE Generation SE,Nordrhein-Westfalen,Werne,natural_gas,Steam turbine,55.0,1973.0,2018.0,51.672453,7.709947
Gersteinwerk,,RWE Generation SE,Nordrhein-Westfalen,Werne,natural_gas,Steam turbine,55.0,1973.0,,51.672453,7.709947
Gersteinwerk,,RWE Generation SE,Nordrhein-Westfalen,Werne,natural_gas,Steam turbine,355.0,1973.0,,51.672453,7.709947
Gersteinwerk,Gersteinwerk F (Werne),RWE Generation SE,Nordrhein-Westfalen,Werne,natural_gas,Combined cycle,355.0,1973.0,,51.672453,7.709947
Gersteinwerk,Gersteinwerk G (Werne),RWE Generation SE,Nordrhein-Westfalen,Werne,natural_gas,Combined cycle,355.0,1973.0,,51.672453,7.709947
Gersteinwerk,Gersteinwerk K1 (GT) (Werne),RWE Generation SE,Nordrhein-Westfalen,Werne,natural_gas,Gas turbine,112.0,1984.0,,51.672453,7.709947
Heizkraftwerke an der Friedensbrücke,,Heizkraftwerk Würzburg GmbH,Bayern,Würzburg,natural_gas,Steam turbine,23.0,1971.0,,49.800041,9.923136
UPM Augsburg,,UPM GmbH Werk Augsburg,Bayern,Augsburg,natural_gas,Steam turbine,29.0,1967.0,,48.38008,10.90143
Heizkraftwerk,,Stadtwerke Augsburg Energie GmbH,Bayern,Augsburg ,natural_gas,Steam turbine,20.4,1976.0,,48.37509,10.90277
"MT, Düren",,Metsä Tissue GmbH (Werk Düren),Nordrhein-Westfalen,Düren,natural_gas,Steam turbine,14.0,1940.0,,50.77284,6.49003
PWG,,Peißenberger Wärmegesellschaft mbH,Bayern,Peißenberg,natural_gas,Steam turbine,5.3,1989.0,2016.0,47.789499,11.055371
PWG,,Peißenberger Wärmegesellschaft mbH,Bayern,Peißenberg,natural_gas,Steam turbine,5.3,1987.0,2016.0,47.789499,11.055371
UPM Schongau,,UPM GmbH,Bayern,Schongau,natural_gas,Steam turbine,64.0,1954.0,,47.80811,10.90251
Sigmundshall,,K+S AG,Niedersachsen,Wunstorf,natural_gas,Steam turbine,11.0,1974.0,,52.41852,9.36815
HKW Pfaffenwald,,Universität Stuttgart,Baden-Württemberg,Stuttgart,natural_gas,Steam turbine,12.181,1988.0,,48.75081,9.1103
HKW Pfaffenwald,,Universität Stuttgart,Baden-Württemberg,Stuttgart,natural_gas,Steam turbine,11.3377,1969.0,,48.75081,9.1103
HKW Pfaffenwald,,Universität Stuttgart,Baden-Württemberg,Stuttgart,natural_gas,Steam turbine,11.6188,1968.0,,48.75081,9.1103
PKV Kraftwerk,,Papier- u. Kartonfabrik Varel GmbH & Co. KG,Niedersachsen,Varel,natural_gas,Steam turbine,58.1,1989.0,,53.40317,8.128210000000001
PKV Kraftwerk,,Papier- u. Kartonfabrik Varel GmbH & Co. KG,Niedersachsen,Varel,natural_gas,Steam turbine,0.48,1968.0,,53.40317,8.128210000000001
Holthausen,,Henkel AG & Co. KGaA,Nordrhein-Westfalen,Düsseldorf,natural_gas,Steam turbine,84.0,1948.0,,51.17565,6.83805
Heizkraftwerk,,DS Smith Paper Deutschland GmbH,Bayern,Aschaffenburg,natural_gas,Steam turbine,27.0,,2012.0,49.988218,9.155761
Heizkraftwerk Evonik Rheinfelden,,Evonik Degussa GmbH,Baden-Württemberg,Rheinfelden,natural_gas,Steam turbine,15.68,1979.0,,47.570794,7.807192
Gaskraftwerk,,DS Smith Paper Deutschland GmbH,Hessen,Witzenhausen,natural_gas,Steam turbine,13.2,1990.0,,51.31981075,9.848941452
Kraftwerk 2,,Papierfabrik Adolf Jass GmbH & Co. KG,Hessen,Fulda,natural_gas,Steam turbine,7.5,1982.0,,50.56912,9.68128
Werk Nordstemmen,,"Nordzucker AG, Werk Nordstemmen",Niedersachsen,Nordstemmen,natural_gas,Steam turbine,30.6,1953.0,,52.16921,9.7909
HKW 1 Werk Offstein,,Südzucker AG Mannheim,Rheinland-Pfalz,Obrigheim,natural_gas,Steam turbine,30.0,1961.0,,49.599140000000006,8.22096
Gemeinschaftskraftwerk Weig,,Moritz J. Weig GmbH & Co KG,Rheinland-Pfalz,Mayen,natural_gas,Steam turbine,8.4,1971.0,,50.321134,7.233907
Heizkraftwerk Bomlitz,,Sales & Solutions GmbH,Niedersachsen,Bomlitz,natural_gas,Steam turbine,12.75,1969.0,,52.904778,9.658513
HKW-Mitte,,Stadtwerke Lemgo GmbH,Nordrhein-Westfalen,Lemgo,natural_gas,Steam turbine,10.1,1980.0,,52.029657,8.907163
Energieversogung Wedding,,Bayer AG,Berlin,Berlin,natural_gas,Steam turbine,15.0,1972.0,,52.53931,13.363904000000002
KWK-Anlage Neukochen,,Papierfabrik Palm GmbH & Co. KG,Baden-Württemberg,Aalen,natural_gas,Steam turbine,15.0,1960.0,,48.836270500000005,10.0931765
Wilmersdorf,,Vattenfall Wärme Berlin AG,Berlin,Berlin,oil,Gas turbine,184.0,1977.0,,52.48159366,13.30761909
Wilmersdorf,,Vattenfall Wärme Berlin AG,Berlin,Berlin,oil,Gas turbine,92.0,1977.0,2018.0,52.48159366,13.30761909
Moabit,,Vattenfall Wärme Berlin AG,Berlin,Berlin,oil,Gas turbine,34.0,1971.0,,52.53735111,13.34611416
Moabit,,Vattenfall Wärme Berlin AG,Berlin,Berlin,oil,Gas turbine,17.0,1971.0,2018.0,52.53735111,13.34611416
KW Mittelsbüren,,swb Erzeugung AG & Co. KG,Bremen,Bremen,oil,Gas turbine,86.0,1975.0,,53.12891,8.68524
Brunsbüttel,,Vattenfall Europe Nuclear Energy GmbH,Schleswig-Holstein,Brunsbüttel,oil,Gas turbine,63.5,,2017.0,53.89251924,9.201135635
Brunsbüttel,,Vattenfall Europe Nuclear Energy GmbH,Schleswig-Holstein,Brunsbüttel,oil,Gas turbine,63.5,,2017.0,53.89251924,9.201135635
Brunsbüttel,,Vattenfall Europe Nuclear Energy GmbH,Schleswig-Holstein,Brunsbüttel,oil,Gas turbine,63.5,,2017.0,53.89251924,9.201135635
Brunsbüttel,,Vattenfall Europe Nuclear Energy GmbH,Schleswig-Holstein,Brunsbüttel,oil,Gas turbine,63.5,,2017.0,53.89251924,9.201135635
GT,,Stadtwerke Düsseldorf AG,Nordrhein-Westfalen,Düsseldorf,oil,Gas turbine,86.2,1972.0,,51.222794,6.813696
HKW Flensburg,Flensburg K09 bis K12,Stadtwerke Flensburg GmbH,Schleswig-Holstein,Flensburg,oil,Combined cycle,30.0,,2012.0,54.80506,9.43238
Ingolstadt,Ingolstadt 3 - Großmehring,Uniper Kraftwerke GmbH ,Bayern,Großmehring,oil,Steam turbine,386.0,1973.0,,48.761412,11.503001
Ingolstadt,Ingolstadt 4 - Großmehring,Uniper Kraftwerke GmbH ,Bayern,Großmehring,oil,Steam turbine,386.0,1974.0,,48.761412,11.503001
Kraftwerk Hausham,Hausham GT 1 bis 4,Peissenberger Kraftwerksgesellschaft mbH,Bayern,Hausham,oil,Gas turbine,23.4,1982.0,,47.752396000000005,11.839802
Kraftwerk Hausham,Hausham GT 1 bis 4,Peissenberger Kraftwerksgesellschaft mbH,Bayern,Hausham,oil,Gas turbine,23.4,1982.0,,47.752396000000005,11.839802
